Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","0.1 uF","C_0603_1608Metric",181.225000,-92.600000,0.000000,top
"C2","0.1 uF","C_0603_1608Metric",181.225000,-104.800000,180.000000,top
"C3","0.1 uF","C_0603_1608Metric",187.400000,-98.775000,90.000000,top
"C4","0.1 uF","C_0603_1608Metric",175.200000,-99.600000,-90.000000,top
"C5","0.1 uF","C_0603_1608Metric",181.425000,-89.200000,180.000000,top
"C6","10 uF","C_0805_2012Metric",186.450000,-93.200000,180.000000,top
"C7","10 uF","C_0805_2012Metric",190.750000,-93.200000,180.000000,top
"D1","M7_C95872","SMA_L4.3-W2.6-LS5.2-RD",191.600000,-100.000000,-90.000000,top
"J1","Conn_02x08_Odd_Even","PinSocket_2x08_P2.54mm_Vertical",172.450000,-84.620000,0.000000,top
"J2","Conn_02x08_Odd_Even","PinSocket_2x08_P2.54mm_Vertical",197.850000,-84.620000,0.000000,top
"U1","STM32F103TBU6","QFN-36-1EP_6x6mm_P0.5mm_EP4.1x4.1mm",181.168736,-98.768736,45.000000,top
"U2","LD1117S33TR_SOT223","SOT-223-3_TabPin2",188.400000,-87.400000,90.000000,top
"U3","SN65HVD230","SOIC-8_3.9x4.9mm_P1.27mm",179.200000,-85.600000,180.000000,top
